Q013,Q007,Q008,Q010,Q011,Q012,Q009,Tnuts2,TT11edu1,T_gender,T_Q001_2cat
3,1,2,3,2,2,3,4,NA,1,2
4,2,1,3,1,1,1,3,1,2,1
1,2,3,2,3,3,1,3,4,1,1
1,2,2,2,1,1,3,2,2,2,2
1,2,2,2,1,1,3,3,1,1,2
4,2,1,1,1,1,1,1,5,2,2
5,2,3,3,3,1,1,1,5,2,2
2,1,1,1,1,1,1,1,4,1,1
4,2,1,3,1,1,1,1,2,1,2
2,2,3,3,1,3,1,1,3,1,NA
2,2,2,2,2,2,2,3,5,2,1
4,2,2,3,3,3,3,3,4,2,1
2,2,1,3,3,3,1,2,2,2,2
2,3,3,3,3,3,3,4,3,2,2
2,1,1,1,1,1,2,2,1,2,1
2,2,3,3,2,2,3,3,4,2,2
4,3,1,1,1,1,3,1,5,2,2
3,1,1,1,1,1,1,2,4,2,1
4,2,1,2,1,1,3,3,1,1,2
2,2,2,1,1,1,1,1,1,1,2
2,2,1,1,1,1,1,3,5,1,2
5,2,1,3,3,3,1,1,NA,1,2
1,2,1,1,1,1,1,3,4,1,2
5,2,1,1,1,1,1,3,3,2,2
3,2,3,3,1,1,3,2,1,1,2
1,2,2,3,3,3,3,1,NA,2,2
3,2,3,1,1,3,1,3,4,1,2
4,2,1,1,1,1,1,3,1,2,2
4,2,2,2,1,1,3,3,2,1,2
5,3,1,1,1,1,1,3,1,2,2
4,2,1,1,1,1,1,3,2,1,2
5,2,2,3,3,1,1,3,4,2,2
4,2,1,2,1,1,1,1,2,2,2
2,2,1,2,1,1,1,1,5,1,2
4,2,1,1,3,1,1,4,4,1,2
2,2,1,2,1,1,1,2,1,2,1
4,2,2,3,3,3,3,3,1,2,2
2,2,3,1,1,1,1,2,5,2,2
2,2,1,1,1,1,1,3,5,1,2
4,2,1,3,1,1,2,3,3,2,2
3,2,1,3,1,1,3,3,1,2,2
4,2,1,1,1,1,1,2,4,2,2
2,2,2,1,1,1,2,4,2,2,2
3,2,1,1,1,3,1,4,3,1,2
1,2,1,3,1,1,3,1,1,1,2
1,2,2,1,3,3,2,3,NA,1,1
4,2,1,1,1,1,1,4,NA,2,1
4,2,2,1,1,2,2,4,1,2,1
1,2,1,2,3,1,1,1,4,1,2
1,1,1,3,2,2,3,3,3,2,2
5,2,2,2,2,1,1,4,3,1,2
4,3,1,1,1,1,3,3,3,1,1
2,2,1,1,1,1,1,3,1,2,1
2,2,1,1,1,1,1,3,1,1,2
5,2,1,1,1,1,1,4,NA,2,1
3,2,3,1,3,1,1,4,4,2,2
4,2,1,1,2,3,1,1,5,2,2
2,2,2,3,3,3,3,1,NA,2,1
3,1,1,3,1,1,1,1,4,1,2
4,2,3,2,1,1,1,4,3,2,2
2,3,1,3,1,1,1,3,1,1,2
2,2,3,2,3,1,1,1,3,1,2
1,2,1,3,1,1,1,3,2,1,2
5,2,2,3,1,1,3,3,NA,2,1
1,1,1,1,1,1,1,4,2,2,2
4,2,1,1,1,1,1,4,1,2,2
5,2,2,2,1,1,3,3,1,1,2
4,2,NA,3,3,1,1,1,4,1,2
1,2,3,3,1,1,2,1,2,1,2
5,2,3,2,1,1,3,2,1,2,2
4,2,3,1,1,1,1,1,5,2,2
3,2,3,3,1,1,3,1,3,2,2
3,2,3,2,1,1,1,2,3,1,2
2,2,1,1,1,1,1,1,1,2,2
4,3,1,2,1,1,2,2,5,1,1
5,1,1,1,3,1,1,2,4,1,1
5,2,1,2,1,3,1,3,4,2,2
2,2,3,1,1,1,2,2,1,1,2
2,2,3,3,1,1,1,1,2,1,2
5,2,3,2,3,1,2,3,1,1,1
4,2,2,1,1,1,2,1,4,2,2
5,2,3,1,1,1,1,3,1,2,2
4,2,2,1,1,1,1,1,NA,2,1
3,2,1,2,1,1,1,1,5,2,2
4,2,2,1,1,3,1,1,3,2,1
3,2,2,2,1,1,1,2,1,2,2
5,2,1,1,1,1,1,1,3,2,2
5,1,1,2,3,1,1,3,4,1,2
4,2,2,1,1,1,1,4,3,1,2
2,2,1,1,1,1,2,1,5,2,2
5,2,3,3,1,1,1,2,5,2,2
4,2,2,3,1,3,1,3,4,1,2
5,2,3,3,2,2,1,3,5,2,2
4,2,1,1,1,1,1,2,5,1,NA
2,2,2,2,1,1,3,3,4,1,2
1,2,1,2,1,1,1,1,2,1,2
5,2,1,3,1,3,1,1,NA,1,2
5,2,1,1,1,3,1,1,4,1,2
2,2,2,3,1,3,3,3,NA,2,2
2,2,3,1,1,1,1,1,1,1,2
2,2,1,1,1,1,1,1,NA,2,2
3,2,3,3,1,3,3,4,NA,2,2
5,1,1,2,1,1,1,2,1,2,1
2,2,3,2,1,3,1,3,NA,2,2
5,2,3,3,3,1,1,4,4,1,2
5,2,1,1,2,1,2,2,5,1,2
5,2,1,1,1,1,1,3,3,2,2
4,2,1,1,1,3,2,2,NA,2,2
5,2,3,2,1,1,3,4,4,1,2
5,2,1,1,1,1,1,2,4,2,2
4,2,1,1,1,1,1,1,3,2,2
5,2,1,3,1,1,3,3,NA,2,2
1,2,3,1,1,1,1,1,NA,1,NA
2,2,3,3,1,1,1,3,5,1,2
1,2,3,2,1,1,1,3,3,1,2
5,2,2,3,1,1,2,2,1,1,2
4,2,2,2,2,NA,1,3,2,1,2
3,2,2,3,3,1,2,2,4,1,2
5,3,3,3,3,3,3,1,1,1,2
1,2,3,3,1,3,3,3,NA,1,2
4,1,1,1,1,1,3,4,1,2,2
5,2,1,1,1,1,1,1,3,1,2
3,2,3,1,1,1,1,3,NA,1,2
1,2,1,1,1,1,1,1,1,1,NA
5,2,1,1,1,3,1,2,3,2,2
3,2,3,3,3,1,1,3,5,1,2
2,3,1,1,1,1,1,4,2,1,2
2,2,2,3,3,3,2,1,4,2,2
1,2,3,3,3,3,1,1,1,2,2
1,2,3,2,1,1,1,3,NA,1,2
1,2,2,2,1,1,3,4,NA,1,2
1,2,1,1,1,1,1,2,2,1,NA
1,2,3,3,3,3,3,4,NA,2,2
1,2,2,1,1,1,2,3,2,1,2
1,2,3,2,1,1,1,3,2,1,2
2,3,1,1,1,1,1,1,NA,2,2
4,1,1,1,1,1,1,1,3,2,1
1,2,2,3,3,1,1,1,NA,2,2
1,3,3,3,3,3,3,3,NA,2,2
1,2,2,3,1,1,2,4,NA,2,2
5,2,3,1,1,1,1,2,3,1,2
3,2,1,1,1,3,3,3,1,1,NA
2,2,2,2,2,1,2,4,1,2,2
5,2,1,2,1,1,1,4,NA,2,2
5,3,1,1,1,1,3,1,NA,2,1
5,2,3,1,1,1,1,2,3,2,2
2,2,3,3,3,1,3,3,4,1,2
4,2,3,2,3,3,2,1,3,2,2
1,2,1,3,1,1,1,1,2,1,2
3,2,3,1,3,1,1,3,5,2,2
2,3,3,3,3,2,3,4,1,2,2
2,2,2,1,3,2,1,2,5,1,2
4,2,1,3,1,1,1,2,1,1,2
2,3,3,3,1,1,3,2,1,1,NA
5,1,1,2,1,1,1,1,1,1,2
3,2,3,1,1,1,1,4,1,2,1
5,2,2,1,3,3,1,1,4,2,2
3,2,3,3,3,1,1,1,4,2,2
1,2,3,3,1,1,3,3,NA,1,2
2,2,3,2,1,1,1,2,4,1,2
3,2,2,3,1,2,3,4,1,2,2
2,2,1,1,1,1,1,3,5,1,2
4,2,1,3,1,1,1,1,4,1,2
5,2,1,2,1,1,1,1,2,1,2
1,2,2,1,2,2,3,4,1,2,1
2,2,2,3,2,2,3,4,2,2,1
2,3,1,1,1,1,1,2,2,2,2
5,3,1,3,3,3,1,1,3,1,2
2,2,2,2,1,1,1,2,2,2,2
5,2,3,2,1,1,1,2,1,1,2
2,2,1,1,1,1,1,1,4,1,1
2,2,2,3,1,1,3,4,1,2,2
5,2,1,1,1,1,1,4,1,2,2
1,2,2,2,1,1,3,1,NA,2,2
3,3,3,3,1,1,1,2,3,2,2
2,2,1,1,1,1,1,1,5,2,2
3,3,1,1,3,3,1,1,5,1,2
1,2,2,3,2,2,2,4,NA,2,2
4,2,1,2,1,1,1,1,5,1,2
2,2,1,3,3,1,1,2,1,1,2
5,2,1,2,1,1,1,1,2,2,2
2,2,3,3,3,3,1,3,5,1,1
3,3,1,2,1,1,1,1,4,2,2
1,2,3,3,3,3,3,3,NA,1,2
3,2,3,3,3,1,1,1,5,1,2
2,2,1,1,1,1,1,3,1,2,2
3,2,3,2,1,1,1,1,5,1,2
1,2,2,3,1,1,3,4,1,1,2
1,2,1,1,2,3,1,2,NA,1,2
1,3,3,3,3,3,3,2,2,2,2
4,2,1,2,2,1,1,2,4,1,2
5,2,1,3,1,1,3,1,NA,2,2
4,2,2,2,2,1,1,4,1,2,2
2,1,1,1,1,1,1,1,5,2,2
5,2,1,2,1,1,1,1,5,1,1
3,2,1,2,1,1,1,4,5,2,2
1,3,1,1,1,1,1,3,NA,1,2
4,2,1,1,1,3,3,4,1,2,2
3,2,1,3,1,1,1,3,4,1,2
1,2,3,1,1,1,3,1,NA,2,2
4,2,2,2,2,3,3,1,1,2,2
5,2,1,3,1,3,1,2,NA,2,2
2,2,3,2,1,1,1,1,5,2,2
1,2,3,2,3,1,1,2,NA,2,1
1,3,3,3,3,3,3,3,NA,2,2
1,1,1,2,1,1,1,1,1,2,1
1,NA,2,2,2,1,2,1,NA,2,1
2,2,1,1,1,1,3,2,1,1,2
4,2,3,2,1,1,1,2,3,1,2
4,2,3,1,1,1,3,4,3,1,2
2,2,2,1,1,1,2,3,4,1,2
2,2,1,1,1,1,1,3,2,2,2
2,2,1,3,1,3,1,2,1,2,2
2,2,2,2,1,1,3,4,5,2,2
1,2,2,2,1,2,1,2,NA,1,2
3,2,1,2,1,1,1,1,5,1,2
1,2,2,3,1,1,3,3,2,2,2
1,1,1,1,2,1,2,2,NA,2,1
1,2,2,3,1,1,3,4,2,2,2
1,2,1,1,1,1,1,2,NA,2,2
1,2,1,2,3,1,1,4,NA,1,2
1,2,2,1,1,2,3,3,NA,1,2
2,2,1,1,1,1,1,2,1,1,2
4,1,1,3,1,1,1,2,4,1,1
1,2,3,1,1,1,3,4,NA,1,1
1,2,3,3,3,3,3,4,NA,1,2
1,2,2,1,2,3,1,2,1,1,1
4,2,1,1,1,1,1,4,4,2,2
5,2,1,2,2,1,1,1,3,2,2
4,1,1,1,1,1,1,2,3,1,1
3,2,3,3,1,1,3,3,4,1,2
4,2,2,3,2,1,1,3,3,1,2
5,2,1,1,3,1,1,2,5,1,2
5,2,1,1,1,1,1,3,5,1,2
3,1,1,1,1,3,1,3,4,1,2
4,2,1,1,1,3,1,3,1,2,2
3,2,3,3,1,1,1,2,2,2,2
3,2,NA,3,3,1,3,1,5,1,2
4,2,1,1,1,1,1,2,5,2,1
3,2,1,1,1,1,1,3,4,2,2
5,2,3,3,1,3,1,4,5,1,2
5,2,3,3,1,3,1,1,3,2,2
3,2,1,1,3,1,1,1,5,1,2
5,2,1,2,2,3,1,1,1,1,1
5,1,1,1,1,1,1,2,4,2,1
2,2,1,3,3,1,1,1,5,1,2
4,2,2,2,2,1,1,2,3,1,2
4,2,1,1,1,1,1,2,3,1,2
4,2,1,2,1,1,1,2,3,2,2
4,2,1,3,1,3,3,2,4,1,2
3,1,1,3,1,1,1,1,5,1,2
5,2,1,3,1,3,1,2,NA,1,2
4,2,3,3,1,3,3,3,1,1,2
4,2,2,3,3,3,3,4,4,2,2
5,2,2,3,2,1,1,2,1,1,2
4,2,3,1,1,1,1,2,NA,1,2
5,2,1,1,1,1,1,4,3,2,2
5,2,1,3,2,1,3,1,2,1,2
4,2,2,2,3,1,2,3,2,2,1
5,1,1,1,2,1,1,3,3,1,2
3,2,2,2,3,2,3,2,1,2,2
4,2,3,3,1,1,1,2,1,2,2
5,2,1,3,1,1,1,3,3,1,2
5,2,3,3,3,1,2,3,3,2,2
4,2,3,2,1,1,1,1,5,1,2
5,2,3,1,1,1,2,3,4,2,2
2,2,1,1,1,1,1,3,1,1,2
3,2,1,1,1,1,1,3,4,1,1
5,3,1,3,1,1,1,1,4,1,2
5,1,3,3,1,1,3,2,NA,2,NA
4,2,3,3,1,1,1,1,4,1,2
3,2,2,2,2,2,1,1,3,2,2
5,2,2,1,1,1,1,1,3,1,2
5,1,1,2,1,1,1,1,3,1,2
4,2,1,2,1,3,2,1,3,2,2
3,2,3,2,1,1,1,4,4,2,2
5,2,3,3,3,2,3,4,3,2,1
3,2,3,1,1,1,1,4,4,1,2
5,2,3,3,1,1,3,3,2,1,2
4,2,1,1,1,1,1,3,2,1,2
5,1,1,3,3,3,1,1,3,2,2
3,2,1,1,1,3,1,1,4,1,2
4,2,2,3,1,3,2,2,4,1,2
3,2,2,3,3,3,3,3,1,2,1
5,2,1,1,1,3,2,1,4,2,2
5,2,1,1,1,1,1,1,4,2,2
2,2,1,1,1,1,2,4,4,1,1
1,2,3,3,2,1,3,1,4,2,2
4,2,3,1,3,1,3,4,3,2,2
3,2,1,1,1,1,1,1,5,1,2
5,2,3,3,1,1,1,3,4,2,2
4,2,3,3,1,3,1,1,1,1,2
3,3,1,1,3,1,1,2,4,1,2
2,3,3,3,NA,3,3,3,1,2,2
4,1,1,1,1,1,1,1,4,1,1
3,2,2,2,2,1,1,2,3,1,2
5,2,2,2,1,1,3,1,1,1,2
4,2,2,1,1,1,1,3,4,1,2
3,2,2,3,2,3,3,4,5,2,2
4,2,2,3,2,1,3,3,4,1,2
5,2,1,3,2,1,2,1,2,1,2
5,2,3,3,3,1,3,3,1,1,1
5,1,1,1,1,1,1,4,1,1,2
5,2,3,2,1,1,1,2,3,1,2
4,2,2,2,2,2,2,1,2,2,2
5,1,1,1,1,1,1,4,5,1,1
2,2,3,3,3,1,1,4,2,1,2
3,2,1,3,1,1,1,3,5,1,2
3,2,1,1,1,1,1,3,4,1,2
4,1,1,1,1,1,1,1,1,1,2
5,1,1,3,1,1,1,1,2,1,2
1,2,1,2,1,1,1,4,NA,1,2
3,2,1,1,1,2,1,3,4,2,2
5,2,1,2,1,1,1,1,4,1,2
4,2,2,1,1,3,3,4,3,2,2
3,2,1,3,3,1,3,2,3,2,2
5,2,1,3,1,3,1,1,4,1,2
5,2,2,2,2,2,1,1,1,2,2
5,1,1,1,3,3,3,4,NA,1,1
5,1,1,1,1,1,1,1,3,2,1
5,1,1,1,1,1,1,1,3,1,2
4,2,1,2,3,1,1,3,3,1,2
5,2,1,2,1,1,1,1,5,1,2
3,2,1,1,1,1,1,2,4,1,2
4,1,1,3,1,3,1,4,4,2,1
4,1,1,2,1,1,1,2,2,1,1
2,2,3,3,3,3,1,4,1,1,2
5,2,1,1,1,1,1,3,4,1,2
5,2,2,2,2,3,2,4,4,1,2
4,2,2,2,3,3,1,4,4,2,2
4,2,3,2,3,2,1,2,4,1,NA
5,2,1,1,1,1,1,1,4,2,2
4,2,2,1,2,2,1,4,4,2,1
5,2,3,1,1,1,1,3,5,2,2
5,2,1,1,1,1,1,1,3,2,2
3,2,3,1,2,1,3,1,5,1,2
4,2,2,3,1,1,3,1,5,1,2
5,2,1,1,1,3,1,1,1,2,2
5,1,1,1,3,3,1,2,3,2,2
5,2,3,1,1,3,3,2,NA,1,2
3,2,3,3,2,1,3,4,4,2,2
5,2,2,3,3,3,1,4,3,2,2
4,2,2,2,2,3,2,4,5,2,2
4,2,3,1,1,1,1,1,1,1,2
5,2,2,2,2,2,3,2,1,1,2
5,2,3,2,1,1,1,3,3,1,1
5,2,3,1,1,1,2,1,5,2,2
5,2,2,2,2,1,1,3,3,2,2
4,2,3,3,2,1,3,4,1,2,2
4,2,1,2,1,1,1,2,3,2,2
5,2,2,1,2,2,3,3,1,2,2
3,2,2,3,3,1,2,4,3,2,2
3,2,1,3,1,1,1,2,3,1,2
3,2,2,3,3,1,2,1,5,2,2
4,2,2,3,3,3,3,3,4,2,2
3,2,1,2,1,3,3,3,4,2,2
5,2,1,1,1,1,1,2,3,2,2
3,2,3,1,3,1,1,1,4,1,1
4,2,3,1,1,1,1,2,1,2,2
4,2,3,3,1,1,1,2,5,2,2
5,2,3,3,3,3,3,2,2,2,2
